country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia,56,55,56,55,55,56,56,56,56,56,57,56,56,57,57,57,56,57,57,50,45,46,47,47,47,48,48,48,48,48,48,48,48,48,47,47,47,47,46,46,46,46,62,63
Georgia,,,,,,,,,,,,,,,,,52,55,55,57,58,57,58,58,57,57,57,57,58,59,61,61,60,60,59,60,60,60,64,65,65,67,67,68
Germany,83,83,83,85,85,88,88,88,88,89,88,88,89,89,89,92,92,92,92,92,92,92,92,93,94,95,95,95,95,95,96,96,96,96,96,98,98,98,94,94,92,93,91,91
Ghana,38,38,37,38,51,53,47,35,34,34,35,35,35,35,35,40,40,41,55,63,64,64,66,65,66,68,68,68,73,73,73,74,75,74,75,76,76,72,75,74,65,70,73,72
Greece,66,72,74,74,74,75,76,77,77,78,78,78,78,78,79,79,79,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,79,79,80,79,79,78,83,83,83,82,83,81
Guatemala,15,15,12,11,11,9,9,9,9,11,15,28,29,29,30,30,30,30,30,31,32,36,37,38,38,44,44,44,44,44,44,44,44,45,45,45,45,45,47,47,48,48,50,45
Guinea,25,25,25,25,26,25,26,26,25,28,34,34,34,35,35,37,38,41,42,39,39,39,39,39,40,39,40,40,40,40,40,40,42,41,40,45,45,45,43,43,43,43,43,44
Guinea-Bissau,30,31,30,30,30,31,31,31,31,31,31,31,31,31,31,32,32,32,36,39,41,41,41,41,41,42,43,43,45,46,46,46,46,46,46,46,47,45,47,47,47,48,45,47
Haiti,27,26,26,27,27,26,27,27,27,27,27,32,37,37,37,39,39,33,33,35,44,44,47,47,47,47,46,46,45,45,45,46,48,49,47,47,47,47,42,42,42,44,40,37
Honduras,32,32,33,32,32,36,39,39,40,40,40,41,41,43,43,46,46,47,47,48,49,50,50,50,51,50,50,50,51,51,52,53,53,53,44,45,48,51,51,51,51,51,52,52
Hungary,44,44,44,44,44,45,45,46,46,46,46,46,46,49,55,77,77,77,76,77,77,77,77,76,76,76,76,77,76,77,77,71,77,77,77,72,72,71,70,70,69,70,70,66
