country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ethiopia,22,23,23,23,23,23,23,23,23,23,23,23,27,19,19,19,25,28,28,35,36,35,35,36,36,39,39,39,39,39,41,41,41,41,41,42,42,42,43,43,43,46,44,48
Finland,69,70,70,70,71,74,74,74,73,73,73,73,75,75,75,75,79,80,80,80,83,89,89,90,90,90,90,90,92,92,92,92,92,92,92,94,94,94,94,94,94,94,92,92
France,56,57,57,59,59,59,61,61,61,61,61,58,58,61,61,72,72,72,71,71,75,75,76,80,80,81,81,80,80,80,80,80,85,85,85,85,85,95,90,90,90,90,94,94
Gabon,33,33,34,34,34,37,37,37,37,37,38,38,38,38,38,40,52,52,52,52,52,51,52,52,52,52,53,53,53,53,51,56,56,56,57,57,56,54,57,57,57,58,59,60
Gambia,29,29,31,31,31,31,31,34,34,34,34,34,35,35,35,35,35,36,35,39,43,44,43,43,43,43,43,47,45,47,47,47,46,45,45,45,45,45,45,45,45,45,47,49
Georgia,,,,,,,,,,,,,,,,,53,56,56,56,56,56,56,56,57,57,57,57,57,61,63,63,63,60,60,61,61,59,62,62,65,66,68,65
Germany,57,57,57,57,57,59,60,60,60,60,60,60,63,63,63,68,68,68,68,69,69,69,69,77,81,81,81,83,83,83,89,89,89,89,89,89,89,89,87,87,87,87,86,83
Ghana,34,35,35,35,37,38,38,40,39,39,39,40,40,41,41,41,41,42,55,55,55,55,55,56,56,56,54,54,54,55,55,55,55,56,56,56,56,57,56,56,55,58,63,63
Greece,45,49,50,50,50,50,54,56,60,60,59,59,59,59,62,65,65,65,64,64,64,64,67,67,67,70,73,73,73,72,72,69,69,69,74,74,74,69,72,72,74,74,75,78
Guatemala,19,19,19,18,18,18,18,21,22,24,31,33,33,33,33,36,36,36,36,38,39,50,50,50,51,51,51,51,51,51,51,51,53,53,53,53,53,53,57,57,56,56,56,55
Guinea,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,40,42,42,40,40,40,41,41,41,41,43,43,43,43,43,43,43,41,44,44,44,40,40,40,40,40,43
